_id,cid,关键词,其他信息,发布时间,弹幕,标题
5d3ebc10dd389323d55a109e,84682646,蔡徐坤,"10.92400,1,25,16777215,1555306349,0,73e48fd7,14766138653147140",2019-04-05 14:11:46,守护坤坤,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a109f,84682646,蔡徐坤,"126.48300,1,25,16777215,1555306369,0,5fcde33b,14766148984766466",2019-04-05 14:11:46,你骚任你骚 我补我的刀,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10a0,84682646,蔡徐坤,"50.12800,1,25,16777215,1555314379,0,1184953,14770348618678274",2019-04-05 14:11:46,特意为了美丽的鸡通过哔哩哔哩,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10a1,84682646,蔡徐坤,"43.37100,1,25,16777215,1555392681,0,f8a4266,14811401479520256",2019-04-05 14:11:46,鬼畜了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10a2,84682646,蔡徐坤,"79.69600,1,25,16777215,1555433213,0,123254af,14832652151422980",2019-04-05 14:11:46,搞得好像网络有问题一样。,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10a3,84682646,蔡徐坤,"35.16100,1,25,16777215,1557389012,0,e05395fd,15858054095437826",2019-04-05 14:11:46,哈哈哈哈哈哈哈我死了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10a4,84682646,蔡徐坤,"100.34600,4,25,16777215,1557401255,0,92bcdd03,15864472903614464",2019-04-05 14:11:46,乌鸦坐飞机,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10a5,84682646,蔡徐坤,"42.57800,5,25,16777215,1557545474,0,6d813f7a,15940085022195716",2019-04-05 14:11:46,新人都是魔鬼,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10a6,84682646,蔡徐坤,"170.29700,1,25,16777215,1557553147,0,d1dddc12,15944107720966148",2019-04-05 14:11:46,哈哈哈哈哈哈哈哈哈哈,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10a7,84682646,蔡徐坤,"147.84900,1,25,16777215,1557620521,0,97deb4eb,15979431468728324",2019-04-05 14:11:46,圣安地列斯即视感,【蔡徐坤】能坚持看完！不笑抽了不算！
