_id,城市,排名,攻略提到数量,景点名称,点评数量,简介,纬度,经度,英文名,评分,驴友到达比例
5d43c0ce51eceec5c3080359,北京,1.0,1065,故宫,25615,中国古代宫廷建筑之精华，是中国明清两代的皇家宫殿,39.923119,116.403464,ForbiddenCity,94,0.52
5d43c0ce51eceec5c308035a,北京,2.0,748,南锣鼓巷,3429,老北京胡同与小资情调结合，文艺青年的必逛之地。,39.943166,116.4095,Nanluoguxiang,88,0.4
5d43c0ce51eceec5c308035b,北京,1.0,40,八达岭长城,9371,“不到长城非好汉”，这里是长城的精华部分。,40.363162,116.022042,BadalingGreatWall,92,0.38
5d43c0ce51eceec5c308035c,北京,4.0,720,颐和园,11620,被誉为“皇家园林博物馆”，参观园林，泛舟昆明湖。,39.998098,116.277389,TheSummerPalace,94,0.43
5d43c0ce51eceec5c308035d,北京,10.0,342,清华大学,1112,赏水木清华之美景，品百年名校之韵味。,40.011001,116.338896,TsinghuaUniversity,92,0.27
5d43c0ce51eceec5c308035e,北京,3.0,929,天安门广场,11882,共和国的标志，早起看一场庄严肃穆的升旗仪式，瞻仰人民英雄纪念碑。,39.910095,116.404091,Tian'anmenSquare,94,0.5
5d43c0ce51eceec5c308035f,北京,,5,2019北京世界园艺博览会,256,带给游客近半年的文化盛宴，为世园会历届之最！,40.442751,115.95675,,96,0.0
5d43c0ce51eceec5c3080360,北京,13.0,379,前门大街,1617,京味十足的商业老街，各类小吃让人大快朵颐！,39.905052,116.404349,QianmenStree,86,0.29
5d43c0ce51eceec5c3080361,北京,7.0,245,中国国家博物馆,1264,超大的博物馆，四羊方尊、司母戊鼎等众多国宝所在地。,39.911449,116.408018,NationalMuseumofChina,94,0.15
5d43c0ce51eceec5c3080362,北京,12.0,378,什刹海,2510,历史街区簇拥的优雅湖泊，环境优美，也是北京夜生活的核心地带。,39.948373,116.391243,Shichahai,88,0.29
5d43c0ce51eceec5c3080363,北京,158.0,4,纪晓岚故居,136,院内的百年古藤罗很有名气，阅微草堂更加值得观赏。,39.896319,116.393561,,78,0.01
5d43c0ce51eceec5c3080364,北京,829.0,9,东湖港,103,,39.674008,115.530782,,82,0.0
5d43c0ce51eceec5c3080365,北京,322.0,15,祈年殿,174,,39.889922,116.419288,,86,0.0
5d43c0ce51eceec5c3080366,北京,,0,房车露营公园,0,,39.8196,116.218,,0,0.0
5d43c0ce51eceec5c3080367,北京,1999.0,0,海淀科技馆,17,,39.9929036339,116.3482392575,,0,0.0
5d43c0ce51eceec5c3080368,北京,596.0,7,奥林匹克公园,509,北京2008年奥运会的主要举办地，有鸟巢、水立方等著名比赛场馆。,40.000125,116.402542,,88,0.0
5d43c0ce51eceec5c3080369,北京,374.0,26,乾清宫,42,紫禁城内廷三大宫的正殿，曾是专属于皇帝的寝宫。,39.926469,116.403275,,94,0.0
5d43c0ce51eceec5c308036a,北京,73.0,9,老北京胡同游,6,北京的胡同有上千条，形成于中国历史上的元朝、明朝、清朝三个朝代，其中的大多数形成于13世纪的元朝。胡同的走向多为正东正西，宽度一般不过九米。胡同两旁的建筑大多都是四合院。沿途可以看北京优美的风景。,39.940498,116.391622,,80,0.0
5d43c0ce51eceec5c308036b,北京,125.0,27,箭扣长城,170,北京郊县一处古朴自然的长城。,40.449549,116.541789,,98,0.0
5d43c0ce51eceec5c308036c,北京,3.0,1,奥林匹克水上公园,81,奥运会的举办场所，夏季纳凉避暑，冬季提供雪上娱乐活动。,40.187846,116.699695,,80,0.0
5d43c0ce51eceec5c308036d,北京,1.0,12,红螺寺,522,“南有普陀，北有红螺”自古便是北京地区拜佛祈福的圣地。,40.389488,116.634124,,88,0.0
5d43c0ce51eceec5c308036e,北京,21.0,27,北京杜莎夫人蜡像馆,553,蜡像造型逼真，可以与奥巴马、梦露、周杰伦等名人“亲密合影”。,39.903722,116.40455,MadameTussaudsBeijing,96,0.0
5d43c0ce51eceec5c308036f,北京,76.0,31,中国美术馆,324,美术爱好者的天堂，艺术展览更新频繁，设施条件完备。,39.931462,116.415454,NationalArtMuseumofChina,92,0.01
