_id,城市,排名,攻略提到数量,景点名称,点评数量,简介,纬度,经度,英文名,评分,驴友到达比例
5d43cd2b51eceec5c3084c38,南京,6.0,8,德云社,8,南京德云社剧场位于南京市老门东步行街箍桶巷128号，是由郭德纲先生创立的北京德云社在南京建立的分社。剧场建筑为中式传统建筑，面积近1200平方米，可容纳观众260人左右。,32.017189,118.793376,,86,0.0
5d43cd2b51eceec5c3084c39,南京,32.0,33,六朝博物馆,241,展示六朝文物最全面的遗址博物馆，也是反映六朝文化最系统的博物馆。,32.048876,118.805259,TheOrientalMetropolitanMuseum/The3rd-6thCentury,84,0.01
5d43cd2b51eceec5c3084c3a,南京,2.0,10,南京海底世界,892,观看惊心动魄的“人鲨共舞”，还有充满童话色彩的“美人鱼”表演。,32.059657,118.851618,,84,0.0
5d43cd2b51eceec5c3084c3b,南京,,0,新街口,232,,32.047968,118.790629,,96,0.0
5d43cd2b51eceec5c3084c3c,南京,11.0,3,南京科技馆,187,了解科学科技发展，感受人文、艺术与科学知识的完美结合。,31.992765,118.790275,NanjingscienceandTechnologyMuseum,46,0.0
5d43cd2b51eceec5c3084c3d,南京,93.0,23,大报恩寺遗址公园,329,报恩圣地，感受寺庙文化，乃祈福佳选。,32.015453,118.789543,DabaoEnsiSitePark,94,0.0
5d43cd2b51eceec5c3084c3e,南京,36.0,105,南京长江大桥,730,第一座完全由中国人建造的长江大桥，漫步桥面看车水马龙和长江。,32.118652,118.751435,TheNanjingYangtzeRiverBridge,88,0.1
5d43cd2b51eceec5c3084c3f,南京,23.0,71,南京城墙,339,世界上现存最长、规模最大、保存原真性最好的古代城垣。,32.019112,118.788147,NanjingCitywall,88,0.01
5d43cd2b51eceec5c3084c40,南京,39.0,52,浦口火车站,223,保留历史风貌的“百年老火车站”，中国非常文艺的九个火车站其中之一。,32.102487,118.728204,PukouRailwayStation,90,0.02
5d43cd2b51eceec5c3084c41,南京,27.0,138,中国科举博物馆(江南贡院),819,中国古代规模最大的科举考场，也是南方地区开科取士之地。,32.026877,118.797466,ImperialExaminationMuseum,84,0.16
5d43cd2b51eceec5c3084c42,南京,6.0,237,南京博物院,1616,中国三大博物馆之一，欣赏镇院之宝明鎏金藏式佛塔，来一场穿越之旅。,32.046791,118.831617,NanjingMuseum,96,0.09
5d43cd2b51eceec5c3084c43,南京,1.0,674,夫子庙,8889,秦淮河风光带的标志性建筑，赏巨幅孔子画像、《孔子圣迹图》。,32.026937,118.795273,ConfuciusTemple,84,0.52
5d43cd2b51eceec5c3084c44,南京,11.0,123,南京1912街,760,典型文化意义的时尚休闲街区，也是南京夜生活的聚集地。,32.052248,118.80273,,84,0.02
5d43cd2b51eceec5c3084c45,南京,4.0,439,南京总统府,7482,民国风格建筑，中西合璧，漫步煦园寻找伟人的足迹。,32.050491,118.803704,PresidentialPalaceofNanjing,90,0.55
5d43cd2b51eceec5c3084c46,南京,2.0,624,中山陵景区,11211,沿着长长的石阶墓道爬上中山陵顶，瞻仰一代伟人的雕像。,32.059188,118.859975,SunYatsenMausoleum,92,0.61
5d43cd2b51eceec5c3084c47,南京,3.0,316,侵华日军南京大屠杀遇难同胞纪念馆,2426,通过史料文物再现南京大屠杀史实，看万人坑遗址，铭记悲痛历史。,32.04081,118.74896,,96,0.33
5d43cd2b51eceec5c3084c48,南京,14.0,480,秦淮河,563,在游船舫中，听两岸乐声，赏沿岸美景，醉在那繁华盛世里。,32.027113,118.798037,,88,0.36
