_id,城市,排名,攻略提到数量,景点名称,点评数量,简介,纬度,经度,英文名,评分,驴友到达比例
5d43fd167e62ba2bae19f9ef,杭州,12.0,268,三潭印月,1060,一元纸币背面图案的原型，可登岛游览，用全新的视角看西湖。,30.244073,120.150685,Threepoolsmirroringthemoon,88,0.29
5d43fd167e62ba2bae19f9f0,杭州,7.0,6,良渚文化村,88,这是个万科旗下的田园城镇，主打“田园城市”牌。虽然咱们买不起房子，但是可以参观。在这个村庄里什么都自给自足。有美丽洲教堂，有一所由日本津岛晓生建筑事务所设计的全木质结构教堂，有诉说着5000多年前中国文明的曙光的升起的良渚博物馆。还有…,30.370694,120.035541,LiangzhuNewTown,92,0.0
5d43fd167e62ba2bae19f9f1,杭州,1.0,1,杭州野生动物世界,834,带小朋友来看放养的各种动物，去看一场精彩的马戏表演。,30.16025,119.991307,HangzhouSafariPark,86,0.0
5d43fd167e62ba2bae19f9f2,杭州,5.0,3,太湖源,305,烟波浩渺的太湖之源，山水纯净，姚明夫妇曾在这儿拍婚纱照。,30.413225,119.56603,,74,0.0
5d43fd177e62ba2bae19f9f3,杭州,165.0,24,钱塘江,413,观钱塘大潮，漫步钱塘江大桥，入夜赏两岸灯火辉煌。,30.196706,120.139467,,86,0.0
5d43fd177e62ba2bae19f9f4,杭州,7.0,2,瑶琳仙境,703,杭州经典的喀斯特溶洞景观，可欣赏瑰丽多姿的奇石。,29.892018,119.545049,,76,0.0
5d43fd177e62ba2bae19f9f5,杭州,20.0,68,浙江省博物馆（孤山馆区）,133,孤山馆区位于杭州西湖孤山，主要由主楼、浙江西湖美术馆和皇家藏书楼文澜阁组成。,30.257334,120.149943,,86,0.04
5d43fd177e62ba2bae19f9f6,杭州,93.0,54,浙江大学之江校区,171,电影《唐山大地震》取景地，古朴的红砖教学楼非常上镜。,30.199253,120.132207,"ZhijiangCampus,ZhejiangUniversity",90,0.01
5d43fd177e62ba2bae19f9f7,杭州,3.0,8,龙门古镇,367,在孙权后裔聚居地，看溪水人家的古镇生活，尝尝美味的孙权面筋。,29.907164,119.958125,,86,0.0
5d43fd177e62ba2bae19f9f8,杭州,19.0,98,京杭大运河,378,"京杭大运河全长1794千米，是世界上最长的一条人工运河，是苏伊士运河的16倍,巴拿马运河的33倍，纵贯南北，是我国重要的一条南北水上干线。其被列入《世界遗产名录》的古运河，可乘坐水上巴士赏两岸风光。",30.280549,120.168785,,82,0.03
5d43fd177e62ba2bae19f9f9,杭州,3.0,1,杭州长乔极地海洋公园,798,观赏来自遥远海洋的可爱动物，看一场精彩的海豚、海狮表演。,30.148805,120.233027,HangZhouChangQiaoPolarOceanpark,74,0.0
5d43fd177e62ba2bae19f9fa,杭州,23.0,201,九溪烟树,958,俗称“九溪十八涧”，也是狮峰龙井茶的主产区。,30.2088,120.119814,Ninecreeksinmistyforest,88,0.05
5d43fd177e62ba2bae19f9fb,杭州,14.0,105,西湖音乐喷泉,461,西湖水上美轮美奂的音乐喷泉，夜游杭州的推荐选择。,30.259639,120.167613,TheMusicalFountainoftheWestLakeinHangzhou,86,0.03
5d43fd177e62ba2bae19f9fc,杭州,,0,西塘村,8,,30.4091129303,120.0142886078,,74,0.0
