_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业,页数
5d43ed6a51eceec5c3085125,BLUE,500-2000人,数据分析,2019-08-01,深圳,本科,数据分析,年终奖；团队,经验3-5年,15k-25k,C轮,"消费生活,移动互联网",1
5d43ed6b51eceec5c3085126,雷炎科技 MOTI,50-150人,数据分析,2019-08-01,深圳,本科,数据分析师,年终奖+发展空间大,经验不限,8k-15k,天使轮,电商,1
5d43ed6b51eceec5c3085127,乐易网络,150-500人,数据分析,2019-08-0210:10:00,深圳,本科,数据分析师,"大神指导,高配团队,年终奖,带薪旅行",经验1-3年,10k-15k,A轮,"移动互联网,游戏",1
5d43ed6b51eceec5c3085128,珍爱网,2000人以上,数据分析,2019-08-01,深圳,本科,数据分析师（2020珍爱秋季校园招聘）,"工作环境佳,平台大,周末双休",经验应届毕业生,15k-25k,不需要融资,"社交,消费生活",1
5d43ed6b51eceec5c3085129,华云中盛,500-2000人,数据分析,2019-07-30,深圳,本科,数据分析师,发展前景,经验1-3年,8k-16k,不需要融资,"数据服务,移动互联网",1
5d43ed6b51eceec5c308512a,乐盟,50-150人,数据分析,2019-08-01,深圳,不限,数据分析工程师,1年14个月保底，30%净利润保底，双休,经验不限,15k-30k,不需要融资,游戏,1
5d43ed6b51eceec5c308512b,vivo,2000人以上,数据分析,2019-07-30,深圳,本科,数据分析经理,"工作有挑战,团队有激情,付出有回报",经验3-5年,25k-45k,未融资,硬件,1
5d43ed6c51eceec5c308512c,招联金融,500-2000人,数据分析,2019-07-29,深圳,本科,数据分析工程师,初创公司，朝阳行业，广阔的发展空间,经验3-5年,18k-28k,不需要融资,金融,1
5d43ed6c51eceec5c308512d,乐格信息,150-500人,数据分析,2019-08-0210:39:00,深圳,大专,初级数据分析师,13天婚假（法定仅3天）朝九晚六 双休,经验1年以下,4k-5k,A轮,"企业服务,数据服务",1
5d43ed6c51eceec5c308512e,万睿科技,500-2000人,数据分析,2019-08-0209:32:00,深圳,本科,高级数据分析师,餐补 话贴 年终 旅游 员工体检,经验5-10年,15k-25k,不需要融资,硬件,1
5d43ed6c51eceec5c308512f,OPPO,2000人以上,数据分析,2019-08-0210:58:00,深圳,本科,高级数据分析师（广告）,待遇好 平台大,经验5-10年,25k-50k,不需要融资,硬件,1
5d43ed6c51eceec5c3085130,深圳市丰巢科技有限公司,500-2000人,数据分析,2019-07-31,深圳,本科,高级数据分析师,年终丰富，扁平管理，独角兽,经验3-5年,15k-30k,A轮,消费生活,1
