_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业,页数
5d43fb0c7e62ba2bae19f951,Udesk－企业级智能客服平台,150-500人,数据挖掘,2019-08-0216:48:00,北京,本科,数据挖掘,数据量大、高负载、发展前景好、C轮,经验3-5年,20k-40k,C轮,企业服务,1
5d43fb0c7e62ba2bae19f952,洋钱罐,150-500人,数据挖掘,2019-08-0210:18:00,北京,本科,数据挖掘,十四薪；午餐晚餐；六险一金；地铁周边；,经验1-3年,15k-30k,不需要融资,"移动互联网,金融",1
5d43fb0d7e62ba2bae19f953,伊澳科技,2000人以上,数据挖掘,2019-08-0215:20:00,北京,本科,数据挖掘,"美女多,即将上市,有期权,大牛多",经验3-5年,40k-60k,上市公司,"移动互联网,电商",1
5d43fb0d7e62ba2bae19f954,贝壳,2000人以上,数据挖掘,2019-08-01,北京,本科,数据挖掘工程师,新部门，快速增长 超级独角兽,经验3-5年,25k-50k,D轮及以上,房产家居,1
5d43fb0d7e62ba2bae19f955,跟谁学,2000人以上,数据挖掘,2019-08-01,北京,本科,数据挖掘工程师,上市公司，六险一金，带薪年假，定期团建,经验3-5年,20k-35k,上市公司,"移动互联网,教育",1
5d43fb0d7e62ba2bae19f956,一点资讯,500-2000人,数据挖掘,2019-07-30,北京,本科,数据挖掘/数据科学家,弹性管理，移动互联网，钱途无量，前景好,经验1-3年,25k-35k,D轮及以上,文娱丨内容,1
5d43fb0d7e62ba2bae19f957,零犀科技,15-50人,数据挖掘,2019-08-01,北京,硕士,数据挖掘工程师,人工智能,经验1-3年,20k-40k,天使轮,"企业服务,数据服务",1
5d43fb0d7e62ba2bae19f958,百度,2000人以上,数据挖掘,2019-07-31,北京,本科,数据挖掘/分析师,免费早晚餐，大平台,经验3-5年,20k-40k,不需要融资,工具,1
5d43fb0e7e62ba2bae19f959,联想集团,2000人以上,数据挖掘,2019-08-0211:05:00,北京,硕士,数据挖掘专家,国际化视野 良好的工作环境 完善福利,经验5-10年,30k-45k,上市公司,"移动互联网,数据服务",1
5d43fb0e7e62ba2bae19f95a,新华网,500-2000人,数据挖掘,2019-07-31,北京,硕士,数据挖掘工程师（算法方向）,上市国企,经验3-5年,15k-20k,上市公司,"移动互联网,文娱丨内容",1
5d43fb0e7e62ba2bae19f95b,民生电商,150-500人,数据挖掘,2019-08-0210:51:00,北京,本科,数据挖掘及开发算法,福利待遇好，发展前景佳,经验3-5年,20k-30k,B轮,"移动互联网,金融",1
5d43fb0e7e62ba2bae19f95c,快手,2000人以上,数据挖掘,2019-08-0210:07:00,北京,本科,数据挖掘实习生,成长快,经验不限,6k-7k,D轮及以上,文娱丨内容,1
5d43fb0e7e62ba2bae19f95d,同程艺龙,2000人以上,数据挖掘,2019-08-01,北京,本科,数据挖掘,薪资福利好，发展平台大,经验3-5年,20k-40k,上市公司,旅游,1
5d43fb0e7e62ba2bae19f95e,源梦伟业,50-150人,数据挖掘,2019-08-0209:30:00,北京,本科,数据挖掘,扁平化管理，团队nice,经验3-5年,25k-50k,未融资,"移动互联网,数据服务",1
5d43fb0f7e62ba2bae19f95f,省钱快报,150-500人,数据挖掘,2019-08-0216:45:00,北京,本科,数据挖掘工程师,成长空间、技能提升、免费三餐,经验3-5年,25k-50k,C轮,"移动互联网,电商",1
5d43fb117e62ba2bae19f960,四维图新,2000人以上,数据挖掘,2019-08-01,北京,博士,数据挖掘算法工程师,上市平台 14薪,经验不限,15k-25k,上市公司,"移动互联网,消费生活",2
5d43fb117e62ba2bae19f961,联想集团,2000人以上,数据挖掘,2019-08-0210:20:00,北京,本科,数据挖掘,福利好,经验不限,25k-50k,上市公司,"移动互联网,数据服务",2
5d43fb117e62ba2bae19f962,OPPO,2000人以上,数据挖掘,2019-08-0214:31:00,北京,本科,数据挖掘工程师（北京/深圳）1482,弹性工作,经验3-5年,25k-40k,不需要融资,硬件,2
5d43fb117e62ba2bae19f963,阿里巴巴-高德,2000人以上,数据挖掘,2019-08-01,北京,本科,机器学习/数据挖掘/NLP资深工程师,发展前景,经验3-5年,15k-30k,上市公司,工具,2
5d43fb127e62ba2bae19f964,Opera,500-2000人,数据挖掘,2019-07-30,北京,本科,数据挖掘,弹性工作,经验3-5年,25k-40k,上市公司,移动互联网,2
5d43fb127e62ba2bae19f965,车好多集团,2000人以上,数据挖掘,2019-07-30,北京,硕士,数据挖掘（用户画像）,一线互联网技术背景+全年最高19薪,经验5-10年,50k-100k,D轮及以上,消费生活,2
5d43fb127e62ba2bae19f966,高域海汇,150-500人,数据挖掘,2019-08-0214:05:00,北京,硕士,数据挖掘工程师,核心业务，行业大牛，上升空间，弹性作息,经验1-3年,16k-27k,不需要融资,移动互联网,2
