ISBN,_id,丛书,作者,关键词,出版年,出版社,分类,副标题,原作名,名称,定价,装帧,评分,评论人数,译者,页数
9787801458520,5d43cdf551eceec5c3084e2d,,,修仙,2004-1,光明日报,书籍,,,开脸猫鉴修仙,18.00元,,,,,367
9785409010157,5d43cdf551eceec5c3084e2e,,,修仙,,,书籍,神秘老者,,凡人修仙傳65,,,,,,
9785409016074,5d43cdf551eceec5c3084e2f,,,修仙,,,书籍,血光聖祖,,凡人修仙傳86,,,7.9,11.0,,
9789862197486,5d43cdf551eceec5c3084e30,古墓驚旅,三天四夜,修仙,2012-10,普天出版社,书籍,,,古墓驚旅之2：道女修仙洞,199,平裝,,,,272
9785409016104,5d43cdf551eceec5c3084e31,,,修仙,,,书籍,意外麻煩,,凡人修仙傳89,,,8.2,11.0,,
9789863116981,5d43cdf551eceec5c3084e32,絕世妖王,修仙小菜鳥,修仙,2012-10-3,說頻文化,书籍,,,絕世妖王10（完）,NTD170,平装,,,,192
9787543882997,5d43cdf551eceec5c3084e33,,冷亦蓝,修仙,2012-4,,书籍,,,只修鸳鸯不修仙,14.80元,,,,,214
9787551300872,5d43cdf551eceec5c3084e34,,,修仙,2011-12,太白文艺出版社,书籍,,,星辰变（上中下）,90.00元,平装,7.1,692.0,,1273
9787551302982,5d43cdf551eceec5c3084e35,凡人修仙传,,修仙,2012-12,太白文艺出版社,书籍,,,凡人修仙传21·广寒界,28.00元,平装,7.5,268.0,,299
9787551302975,5d43cdf651eceec5c3084e36,凡人修仙传,,修仙,2013-1,太白文艺出版社,书籍,,,凡人修仙传22·九仙山,28.00元,平装,7.8,217.0,,299
9787551302999,5d43cdf651eceec5c3084e37,凡人修仙传,,修仙,2013-6,太白文艺出版社,书籍,,,凡人修仙传（23-24）,,平装,7.7,221.0,,
9787214229526,5d43cdf651eceec5c3084e38,海外中国研究丛书,康儒博,修仙,2019-3,江苏人民出版社,书籍,古代中国的修仙与社会记忆,MakingTranscendents,修仙,48.00元,平装,7.4,101.0,顾漩,284
9787806808351,5d43cdf651eceec5c3084e39,凡人修仙传,,修仙,2010-12,太白文艺出版社,书籍,,,凡人修仙传（11-20）,280.00元（全10册）,平装,7.7,516.0,,
9787539044545,5d43cdf651eceec5c3084e3a,,Priest,修仙,1900,？,书籍,,六爻,六爻,,平装,8.6,3665.0,,？
9787531846024,5d43cdf651eceec5c3084e3b,,,修仙,,,书籍,,,一念永恒,,,6.6,403.0,,
9787549627455,5d43cdf651eceec5c3084e3c,,(美)杰夫·谢索,修仙,2019-7,文汇出版社,书籍,罗斯福总统与最高法院的较量,SupremePower,至高权力,108.00,精装,9.4,26.0,陈平,776
9789862851791,5d43cdf651eceec5c3084e3d,沉香如屑,,修仙,2011-9-20,藍襪子出版社/喵喵屋出版社,书籍,,,沉香如屑《中》,NT$220,平装,8.3,2735.0,,272
9787507527407,5d43cdf651eceec5c3084e3e,,,修仙,2009-8,华文出版社,书籍,,,销魂殿,28.00元,平装,7.3,3788.0,,300
9787806807583,5d43cdf651eceec5c3084e3f,凡人修仙传,,修仙,2010-01,太白文艺出版社,书籍,,,凡人修仙传（1-10）,280.00元（全10册）,平装,7.5,3507.0,,
9785409011277,5d43cdfe51eceec5c3084e40,,,修仙,,,书籍,神秘玉匣,,凡人修仙傳68,,,,,,
9787539665993,5d43cdff51eceec5c3084e41,,,修仙,,,书籍,,,凡人修仙之仙界篇2,,,,,,
9789863551775,5d43cdff51eceec5c3084e42,,,修仙,,,书籍,,,雙修仙尊 9,,,,,,
9787539664774,5d43cdff51eceec5c3084e43,,,修仙,,,书籍,,,凡人修仙之仙界篇1,23.10,,,,,
9787305142956,5d43cdff51eceec5c3084e44,,,修仙,,,书籍,,,凡人修仙传2·魔天记6：妖皇现世,17.50,,,,,
9789863111993,5d43cdff51eceec5c3084e45,絕世妖王,修仙小菜鳥,修仙,2012-2-10,說頻文化,书籍,,,絕世妖王1,NTD170,平装,,,,192
9787555263739,5d43cdff51eceec5c3084e46,,,修仙,,,书籍,,,半缘修仙半缘君（共四册）,76.90,,,,,
9783780897596,5d43cdff51eceec5c3084e47,,,修仙,,,书籍,四處糾紛,,凡人修仙傳51,,,,,,
9789863550334,5d43cdff51eceec5c3084e48,,,修仙,,,书籍,,,雙修仙尊 6,,,,,,
9789863293330,5d43cdff51eceec5c3084e49,神霄,修仙小菜鳥,修仙,2013-8-9,說頻文化,书籍,,,神霄2,NTD170,平装,,,,192
9783780897626,5d43cdff51eceec5c3084e4a,,,修仙,,,书籍,元嬰反噬,,凡人修仙傳49,,,,,,
9785409011659,5d43cdff51eceec5c3084e4b,,,修仙,,,书籍,魔君聖祖,,凡人修仙傳72,,,,,,
9789863293323,5d43cdff51eceec5c3084e4c,神霄,修仙小菜鳥,修仙,2013-8-9,說頻文化,书籍,,,神霄1,NTD170,平装,,,,192
9785409011307,5d43cdff51eceec5c3084e4d,,,修仙,,,书籍,廣寒秘史,,凡人修仙傳69,,,,,,
9789863295686,5d43cdff51eceec5c3084e4e,神霄,修仙小菜鳥,修仙,2013-9-23,說頻文化,书籍,,,神霄6,NTD170,平装,,,,192
9789575169725,5d43cdff51eceec5c3084e4f,,,修仙,2016-3-11,长鸿出版社,书籍,一萌天下无难事,酱油修仙联萌,仙萌奇缘01,200新台币,平装,,,,
9787543686991,5d43ce0051eceec5c3084e50,娥媚,峨嵋,修仙,2012-8,青岛出版社,书籍,,,娥媚（全二册）,55.00元,平装,7.3,373.0,,480
9787539953045,5d43ce0051eceec5c3084e51,一仙难求,云芨,修仙,2012-6,江苏文艺出版社,书籍,,,一仙难求1、2、3,75.00元,平装,7.6,279.0,,759
