ISBN,_id,丛书,作者,关键词,出品方,出版年,出版社,分类,副标题,原作名,名称,定价,装帧,评分,评论人数,译者,页数
9787541134548,5d43b2d951eceec5c30800cc,中国历届科幻银河奖作品集,王晋康,科幻,,,四川文艺出版社,书籍,王晋康科幻中篇系列,,水星播种,,平装,8.6,245.0,,
9787559627254,5d43b2da51eceec5c30800cd,100：科幻之书,刘慈欣等,科幻,未读,2018-12,北京联合出版公司,书籍,100：科幻之书,TheBigBookofScienceFiction,IV诗云,79.80元,平装,8.2,293.0,虞北冥等,552
9787111564546,5d43b2da51eceec5c30800ce,未来镜像,,科幻,,2017-6,机械工业出版社,书籍,《克拉克世界》中国科幻作家作品,,未来镜像,45.00元,平装,7.6,284.0,[美]刘宇昆（KenLiu）,398
9787536481152,5d43b2da51eceec5c30800cf,科幻世界·中国科幻基石丛书,刘慈欣,科幻,科幻世界,2015-6,四川科学技术出版社,书籍,刘慈欣科幻短篇小说集Ⅱ,,梦之海,36.00元,平装,8.3,646.0,,431
9789622731578,5d43b2da51eceec5c30800d0,,,科幻,,1987,山邊社,书籍,,,最後的問題 : 西方短篇科幻小說精選,,,9.4,809.0,李偉才,
9787544752466,5d43b2da51eceec5c30800d1,特德·姜科幻作品,,科幻,,2015-5,译林出版社,书籍,特德·姜科幻小说集,TheLifecycleofSoftwareObjects,软件体的生命周期,35.00元,精装,8.7,2334.0,张博然,242
9787513330435,5d43b2da51eceec5c30800d2,幻象文库,[美]真澄·华盛顿编,科幻,,2018-11,新星出版社,书籍,日本科幻与科幻日本,TheFutureisJapanese,日本未来时,45,平装,7.5,138.0,丁丁虫等,352
9787514617283,5d43b2da51eceec5c30800d3,视觉系,［英］盖伊·哈雷（GuyHaley）,科幻,双又文化,2019-6,中国画报出版社,书籍,银河系伟大科幻作品视觉宝典,Sci-FiChronicles,科幻编年史,278.00元,精装,8.9,67.0,王佳音,560
9787536457584,5d43b2da51eceec5c30800d4,世界科幻大师丛书,,科幻,科幻世界,2005-6,四川科学技术出版社,书籍,世界科幻大师丛书,,银河系公民,18.00元,简裝本,8.1,1358.0,王泰祥,295
9787542729040,5d43b2da51eceec5c30800d5,中国当代科幻名作,,科幻,,2004-10,上海科学普及出版社,书籍,刘慈欣科幻小说精品集,,带上她的眼睛,20.00元,平装,8.6,7484.0,,366
9787535458667,5d43b2da51eceec5c30800d6,中国本土科幻经典,,科幻,,2012-9-1,长江文艺出版社,书籍,刘慈欣科幻自选集,,乡村教师,36.00元,平装,8.5,10210.0,,407
9787513313766,5d43b2db51eceec5c30800d7,世界顶级科幻大师杰作选,西奥多·斯特金,科幻,,2014-4-1,新星出版社,书籍,世界顶级科幻大师杰作选,,微宇宙的上帝,38.00元,平装,8.2,970.0,刘冉,359
9787536455375,5d43b2db51eceec5c30800d8,世界科幻大师丛书,,科幻,科幻世界,2005-2,四川科学技术出版社,书籍,特德·蒋科幻佳作集,,你一生的故事,18.00元,平装,9.0,6750.0,王荣生等,284
9787536453241,5d43b2db51eceec5c30800d9,世界科幻大师丛书,(加拿大)罗伯特﹒J﹒索耶,科幻,科幻世界,2003-09-01,四川科学技术出版社,书籍,世界科幻大师丛书,CalculatingGod,计算中的上帝,18.00元,平装,8.3,4042.0,张建光,278
9787536474673,5d43b2db51eceec5c30800da,世界科幻大师丛书,,科幻,科幻世界,2012-9,四川科学技术出版社,书籍,刘宇昆科幻佳作选,,爱的算法,18.00元,平装,8.4,1779.0,陶若华等,229
9787513307109,5d43b2db51eceec5c30800db,幻象文库,,科幻,,2012-9-30,新星出版社,书籍,二十世纪最佳科幻小说选,Masterpieces,大师的盛宴,45.00元,平装,8.9,1469.0,姚向辉等,580
9787536457935,5d43b2db51eceec5c30800dc,,,科幻,,2006-2,四川科学技术出版社,书籍,英美最佳中篇科幻小说选,TrueNames,真名实姓,20.00元,平装,8.7,5432.0,罗布顿珠等,320
9787513314824,5d43b2db51eceec5c30800dd,世界顶级科幻大师杰作选,,科幻,,2014-6,雅众文化／新星出版社,书籍,世界顶级科幻大师杰作选,FlowersforAlgernon,献给阿尔吉侬的花束,38.00,平装,8.5,1511.0,刘冉,360
