ISBN,_id,丛书,作者,关键词,出品方,出版年,出版社,分类,副标题,原作名,名称,定价,装帧,评分,评论人数,译者,页数
9787301255766,5d43fa8e7e62ba2bae19f8bd,都市想像与文化记忆丛书,陈平原,都市,,2015-3,北京大学出版社,书籍,都市想象与文化记忆,,香港,66.00元,平装,7.8,41.0,,431
9789867247582,5d43fa8e7e62ba2bae19f8be,日本经典建筑系列,宮本長二郎,都市,,"Jul19,2007",馬可孛羅,书籍,古代的都市計畫與建築,,平城京奈良,NTD450.,精裝,8.6,41.0,游蕾蕾,112
9787802205628,5d43fa8e7e62ba2bae19f8bf,都市风水师,听叶,都市,,2009-9,中国画报,书籍,,,都市风水师,39.80元,,6.1,231.0,,640
9787508361864,5d43fa8e7e62ba2bae19f8c0,,《建筑与都市》中文版编辑部,都市,,2008-1,中国电力出版社,书籍,《建筑与都市》中文版发行三周年纪念特别专辑,,塞西尔.巴尔蒙德,238.00元,平装,9.0,348.0,,296
9787510877131,5d43fa8e7e62ba2bae19f8c1,,大原扁理,都市,理想国,2019-1,理想国|九州出版社,书籍,钱少事少的都市生活指南,,做二休五,44.00元,平装,7.0,671.0,吕丹芸,208
9787503939730,5d43fa8e7e62ba2bae19f8c2,都市妖奇谈,,都市,,2009-12,文化艺术出版社,书籍,,,都市妖奇谈,29.80元,平装,8.8,931.0,,335
9787301047781,5d43fa8f7e62ba2bae19f8c3,文学史研究丛书,,都市,,2001-12,北京大学出版社,书籍,一种新都市文化在中国1930-1945,ShanghaiModern,上海摩登,24.00元,平装,8.1,829.0,,353
9787540457570,5d43fa8f7e62ba2bae19f8c4,,,都市,,2012-10-1,湖南文艺出版社,书籍,都市身心灵修行课,,遇见未知的自己,29.00元,平装,7.8,3131.0,,225
9787567514577,5d43fa8f7e62ba2bae19f8c5,99读书人安部公房作品,[日]安部公房,都市,99读书人,2014-4,华东师范大学出版社,书籍,安部公房都市失踪三部曲,砂の女,砂女,23.00元,平装,8.4,1082.0,于荣胜,175
9787540455583,5d43fa8f7e62ba2bae19f8c6,,,都市,,2012-6,湖南文艺出版社,书籍,都市身心灵能量课,,遇见心想事成的自己,33.00元,,7.8,1564.0,,221
9787567512207,5d43fa8f7e62ba2bae19f8c7,99读书人安部公房作品,,都市,99读书人,2014-4,华东师范大学出版社,书籍,安部公房都市失踪三部曲,他人の顔,他人的脸,27.00元,平装,7.8,311.0,杨伟,228
9787502760267,5d43fa8f7e62ba2bae19f8c8,都市妖奇谈,,都市,,2005-4-1,海洋出版社,书籍,给妖怪们的安全手册,,都市妖奇谈一,36元,平装,8.5,1306.0,,512
9787511337283,5d43fa8f7e62ba2bae19f8c9,铁葫芦·文艺馆,,都市,,2013-9,中国华侨出版社,书籍,,台北谣言,都市速写簿,39.80元,平装,8.0,543.0,,176
9787550227620,5d43fa8f7e62ba2bae19f8ca,读客·全球顶级畅销小说文库：朱川湊人作品,,都市,读客,2014-5-1,北京联合出版公司,书籍,都市传说,,都市传说,CNY32.00,平装,8.2,1225.0,曹逸冰,264
9789863048466,5d43fa8f7e62ba2bae19f8cb,GANTZ殺戮都市,,都市,,2002-7-23,尖端出版,书籍,,,GANTZ殺戮都市(01),新台币110元,平裝,8.5,2617.0,花栗鼠,216
9787214033901,5d43fa907e62ba2bae19f8cc,书写与影像系列,,都市,,2003-02,江苏人民出版社,书籍,20世纪都市影像,,城市表情,45.00,平装,8.2,719.0,无,396
9787807430193,5d43fa907e62ba2bae19f8cd,,安藤忠雄,都市,,2013-5,宁波出版社,书籍,,,安藤忠雄都市彷徨,38.00元,平装,7.8,878.0,谢宗哲,260
9787807682509,5d43fa907e62ba2bae19f8ce,,[美]扬·哈罗德·布鲁范德,都市,魔宙出版,2018-9,生活•读书•新知三联书店生活书店出版有限公司,书籍,美国都市传说及其意义,TheVanishingHitchhiker,消失的搭车客,48.00元,平装,7.0,281.0,李扬,256
9787208082007,5d43fa907e62ba2bae19f8cf,都市文化研究译丛,亨利·勒菲弗HenriLefebvre,都市,,2008,上海人民出版社,书籍,《进入都市的权利》第二卷,,空间与政治,22.00元,平装,7.5,134.0,李春,154
9787020049257,5d43fa987e62ba2bae19f8d0,茅盾文学奖获奖作品全集,孙力,都市,,2005-1,人民文学出版社,书籍,,,都市风流,25.00元,简裝本,7.4,359.0,,500
9788926797846,5d43fa9a7e62ba2bae19f8d1,,최지인,都市,,2014-9,,书籍,反逆骑士的圣女篡夺1圣女都市主教堂侵袭,,반역기사의 성녀찬탈 1 성년도시 카테드랄 침탈,,,9.0,11.0,,
9787550629011,5d43fa9a7e62ba2bae19f8d2,,罗晓翔,都市,,2018-12,凤凰出版社,书籍,晚明南京的城市生活与都市性研究,,陪京首善,75,平装,,,,451
9787551803069,5d43fa9a7e62ba2bae19f8d3,长安文化国际研究译丛,[日]妹尾达彦,都市,,2012-11,三秦出版社,书籍,,,长安的都市规划,28.00元,平装,8.8,43.0,高兵兵,268
9787302388159,5d43fa9a7e62ba2bae19f8d4,,[日]鹫田清一,都市,,2015-1,清华大学出版社,书籍,,京都の平熱：哲学者の都市案内,京都人生,39.00元,平装,8.3,362.0,田肖霞,228
9787540460709,5d43fa9b7e62ba2bae19f8d5,,,都市,,2013-5,湖南文艺出版社,书籍,都市身心灵修行课,,遇见未知的自己,68.00元,,7.9,178.0,,192
9787807023821,5d43fa9b7e62ba2bae19f8d6,,[美]坎迪斯·布什奈尔,都市,,200604,吉林文史出版社,书籍,,,欲望都市,36.00元,平装,6.6,342.0,孟繁峰,304
9787561355930,5d43fa9b7e62ba2bae19f8d7,,坎迪斯·布什奈尔,都市,,2012-4,陕西师范大学出版总社有限公司,书籍,,SexandtheCity,欲望都市,32.80元,平装,6.6,101.0,,298
9787545805338,5d43fa9b7e62ba2bae19f8d8,,张真,都市,,2012-5,上海书店出版社,书籍,都市文化与上海电影1896-1937,,银幕艳史,46.00元,平装,8.7,116.0,沙丹,483
9787511219916,5d43fa9b7e62ba2bae19f8d9,,蛋蛋,都市,,2012-1,光明日报出版社,书籍,都市伤恋系掌门人蛋蛋虐心神作,,只婚不爱,28.00元,平装,6.6,173.0,,283
9787540455606,5d43fa9b7e62ba2bae19f8da,,,都市,,2012-6,湖南文艺出版社,书籍,都市身心灵疗愈课,,活出全新的自己,33.00元,平装,7.9,1083.0,,256
9787108052834,5d43fa9b7e62ba2bae19f8db,跨界与文化田野,秦洁,都市,,2015-9-1,生活·读书·新知三联书店,书籍,都市感知与乡土性,,重庆“棒棒”,48.00元,平装,6.7,37.0,,399
9789620426056,5d43fa9b7e62ba2bae19f8dc,,StellaSo,都市,,2008-5,三聯書店(香港)有限公司,书籍,消失中的香港,,粉末都市,HK$168,平装,9.3,348.0,,120
9787020077120,5d43fa9b7e62ba2bae19f8dd,商小说,,都市,,2009年11月,人民文学出版社,书籍,这个时代最精彩的都市白领物语,,别样的江湖,26.00元,平装,7.1,682.0,,285
9787549541560,5d43fa9b7e62ba2bae19f8de,讲谈社·中国的历史,平势隆郎,都市,理想国,2014-2,广西师范大学出版社,书籍,讲谈社•中国的历史02,都市国家から中華へ,从城市国家到中华：殷周 春秋战国,52.00,精装,7.0,704.0,周洁,496
9787509766354,5d43fa9e7e62ba2bae19f8df,近世中国,张济顺,都市,,2015-4,社会科学文献出版社,书籍,1950年代的上海,,远去的都市,CNY79.00,平装,7.8,164.0,,415
