m,f,round_n,stratege_type,外貌_x,内涵_x,财富_x,均分_x,外貌_y,内涵_y,财富_y,均分_y
m21,f3240,1,1,41.33070288754858,51.03902365724587,53.78966482942208,48.71979712473884,36.766837582012215,55.08217857547035,63.76796076108633,51.87232563952296
m23,f4474,1,1,86.06470562465341,55.01394616812503,50.371473399039346,63.8167083972726,59.42647893913337,58.1105891182889,64.59882971967816,60.71196592570015
m24,f3659,1,1,44.472594784986335,65.48176969886809,61.251503581125164,57.068622688326535,65.8009145217791,53.343862482265294,65.7437409845324,61.62950599619226
m49,f8588,1,1,62.84672136444706,58.565671532485645,62.102031843630755,61.17147491352116,44.66623573318343,57.73482884836219,75.92693359887623,59.44266606014062
m60,f8055,1,1,39.740490660118795,76.4788068838635,47.86205985434654,54.69378579944294,54.47240452558586,48.100703952820396,51.15208683045333,51.24173176961986
m74,f4859,1,1,85.71859463787526,57.67834826855179,54.06964142262355,65.8221947763502,39.94784397440414,74.01143512880532,70.28858141532267,61.41595350617737
m80,f984,1,1,62.40982277121432,56.66227338157542,45.13376568330783,54.73528727869919,66.1573706126256,55.02276342082993,54.2789787546061,58.48637092935388
m83,f771,1,1,86.57924990903754,66.89578711996893,46.8413826255557,66.77213988485406,80.93460737085081,22.05640361405608,97.93526216936438,66.97542438475709
m108,f1238,1,1,65.58373043872261,58.21755044647103,51.41787656844005,58.40638581787789,71.03075530792334,45.48310035060032,71.93876415082704,62.81753993645024
m116,f715,1,1,85.65983273504537,71.21651497235521,48.04660434168849,68.30765068302969,92.94818595107378,50.99925993989454,64.73539208275155,69.56094599123996
m2935,f4935,1,1,70.44368183286423,61.3876979946529,69.09194512844972,66.97444165198895,75.96868336745216,78.93723843602535,46.43743692125594,67.11445290824447
m128,f973,1,1,29.89501011526819,80.65473193239274,56.81748381090485,55.789075286188584,61.21097524405628,43.52091138523457,48.19523286318605,50.9757064974923
m139,f6836,1,1,52.33800734379183,52.32664147326973,47.85088248728233,50.83851043478129,60.65869980498982,40.65070957301931,59.06459506908388,53.45800148236433
m144,f5540,1,1,48.54318587070207,54.19022628404695,82.40314344553389,61.712185200094304,56.66800656918119,53.23084956470947,69.84029701542246,59.91305104977104
m170,f8901,1,1,64.67714938788056,66.42183519027931,47.563472061172696,59.554152213110854,37.61715450674271,82.30409468457638,50.62206078464216,56.847769991987086
m173,f5862,1,1,60.06559158351708,44.774297897297785,56.44781026008094,53.7625665802986,36.00607338041468,64.55852977393936,68.47238735589013,56.34566350341473
m174,f8965,1,1,51.20338710608971,62.19182662252484,46.75506917074588,53.38342763312014,62.23007223218737,29.414877874111085,66.67255753736157,52.77250254788667
m195,f9685,1,1,58.12455032233332,75.7784652612996,47.242963553142175,60.381993045591706,64.95267100120915,51.2591011547908,55.513817026859854,57.24186306095327
m210,f6310,1,1,69.67187846562527,48.396623737488284,61.7572180777491,59.941906760287544,69.91316657136409,42.40913661010869,84.64796193809336,65.65675503985538
m213,f2014,1,1,54.51933954847941,57.426900891824125,50.143100407488774,54.029780282597436,65.53155742801934,51.08471008649785,52.86682429984012,56.4943639381191
m217,f721,1,1,46.0658313606051,54.917699453629524,58.520901708721865,53.16814417431883,67.32703023164555,46.50906708712462,46.334941423878945,53.3903462475497
m220,f1307,1,1,51.442000907357276,89.02686628252862,56.76528964957406,65.74471894648666,73.79351353518334,57.2651238463907,56.85721353580472,62.63861697245958
m222,f6568,1,1,43.49481606361362,63.745232594056084,45.09342876415413,50.77782580727461,58.52564305413285,38.48748350739919,70.72835617171229,55.913827577748116
m6355,f4334,1,1,60.05688999566352,59.04683097907016,54.92959890160334,58.01110662544567,65.56960617306265,52.63938250708451,49.07192248295992,55.76030372103569
m231,f330,1,1,60.64720646088901,76.45598328000438,47.116973772087505,61.40672117099363,44.12322601609423,56.36165163121163,94.29561201547722,64.92682988759437
m236,f5847,1,1,45.73067522142884,73.1270008705157,55.770427127437046,58.20936773979386,58.18354190479378,51.38441968344091,46.08875925184213,51.885573613358936
m237,f5608,1,1,50.513674928160356,60.20655509769212,67.07573614967018,59.26532205850756,45.294790349805055,70.55883488777528,51.53706690394101,55.79689738050712
m254,f4003,1,1,55.680856205289,60.702909995557555,52.706904121907655,56.3635567742514,45.837700974685774,60.40905180536862,52.99454707320825,53.080433284420884
m260,f1235,1,1,44.510849470509925,53.70228904318858,78.4277863713121,58.88030829500354,43.59957144790016,58.99101565195036,68.97810001757752,57.18956237247602
m287,f5547,1,1,68.31715830486216,41.553630920574236,51.59739474935557,53.822727991597326,69.04517512424557,57.12803764392285,52.590230788090395,59.58781451875294
m294,f2908,1,1,31.17739036715588,72.53812677122507,72.47670419139402,58.73074044325833,60.59506959908226,62.62171033939523,60.437073907554804,61.217951282010766
m301,f2032,1,1,51.97323822409329,62.53389378036501,74.61634713749604,63.04115971398479,53.87858873805516,57.82665406984491,73.75449487490164,61.81991256093391
m302,f1860,1,1,73.54277991004662,53.7998668627921,47.06411681964881,58.13558786416251,55.58958027315377,51.2187272024305,49.83120587985576,52.21317111848001
m306,f5171,1,1,46.622845499944745,74.53270000361081,48.98357091835817,56.71303880730458,60.6997885640722,47.07883310557576,53.1912556532326,53.65662577429352
m307,f7766,1,1,81.41297647915492,46.83971746181382,50.409926946772146,59.5542069625803,47.708037879359075,69.58796590561423,56.920380978270316,58.07212825441454
m314,f8501,1,1,76.78203288452147,51.41753510121756,50.07924457120751,59.42627085231552,58.40336945412123,63.542776844254156,55.72002415658751,59.22205681832097
m316,f8560,1,1,48.56042557913055,67.2501589019443,62.71998142323696,59.5101886347706,65.51736518221033,53.64133994641244,50.9837473677359,56.71415083211955
m325,f462,1,1,45.84183608813724,69.81488392025474,63.85974186027349,59.8388206228885,40.82117128335972,73.93504688347375,47.23151339497575,53.99591052060307
m340,f4784,1,1,64.61084931774315,49.918633608034824,75.34353870788297,63.29100721122031,68.79324792283924,79.34240303612356,50.49209354005379,66.20924816633887
m350,f594,1,1,63.35184413855928,61.162446862456,63.24262643328602,62.5856391447671,60.88797720916776,43.52895416973708,73.75374826827344,59.39022654905943
m351,f9882,1,1,32.0687223481894,82.90743357665885,49.97485799584055,54.98367130689627,63.50390921471296,43.554417562512086,73.43803318676038,60.16545332132847
m367,f8222,1,1,39.64347507784076,45.41494494815669,109.42802298060225,64.82881433553324,79.83204200965551,67.29839065837169,52.83862175597007,66.65635147466575
m369,f6160,1,1,70.6847059440642,64.52466749559574,60.319127562645235,65.17616700076839,72.21367860339413,82.44721220623781,53.90823140731533,69.52304073898242
m371,f1472,1,1,43.156015746351216,71.85913008903808,50.497233884980105,55.170793240123125,61.88685594477582,58.356521380180396,52.32411450094976,57.52249727530199
m375,f9533,1,1,43.69541182626736,58.92029045312196,67.14815617857617,56.58795281932183,64.8809770247967,64.80463774537812,58.8853671418578,62.856993970677536
m386,f8496,1,1,76.33214564718487,68.32397538635647,59.79868352213819,68.15160151855984,70.59107656028856,59.53911104136192,82.21938510826499,70.78319090330517
m387,f7737,1,1,69.13998924980989,77.69327547714155,69.13004459364274,71.9877697735314,68.02760003974034,57.39884802879196,102.94924759459411,76.12523188770881
m394,f6220,1,1,55.83417437770277,51.60953658159111,66.578095603069,58.00726885412096,93.96777491913176,29.788002545135,46.525737895865745,56.76050512004417
