type_m,type_f,chance,alpha
财中品中颜低,财中品中颜低,0.02015327845586148,3.418181818181818
财中品中颜高,财中品中颜中,0.005535055350553505,0.9212121212121211
财中品中颜低,财中品中颜中,0.009367016747090548,1.5757575757575757
财中品中颜中,财高品中颜低,0.0015611694578484246,0.2424242424242424
财低品高颜低,财中品低颜中,0.0008515469770082316,0.1212121212121212
财中品中颜高,财高品高颜低,0.0008515469770082316,0.1212121212121212
财低品中颜中,财中品中颜中,0.009508941243258587,1.6
财低品中颜高,财高品低颜高,0.0002838489923360772,0.024242424242424242
财中品中颜中,财高品低颜高,0.000709622480840193,0.09696969696969697
财低品高颜高,财中品中颜高,0.0019869429463525404,0.3151515151515151
财中品中颜高,财低品高颜高,0.0011353959693443088,0.16969696969696968
财中品高颜低,财低品低颜中,0.0019869429463525404,0.3151515151515151
财低品中颜中,财中品低颜中,0.003264263411864888,0.5333333333333334
财高品中颜低,财中品中颜中,0.00411581038887312,0.6787878787878787
财低品中颜中,财中品高颜低,0.0017030939540164632,0.26666666666666666
财中品低颜中,财中品中颜低,0.005393130854385467,0.896969696969697
财低品高颜中,财中品中颜中,0.005251206358217428,0.8727272727272727
财中品低颜中,财高品低颜中,0.001419244961680386,0.21818181818181817
财中品中颜中,财中品中颜中,0.04697700823162078,8.0
财中品中颜低,财低品低颜中,0.006812375816065853,1.1393939393939394
财中品高颜中,财中品中颜高,0.004683508373545274,0.7757575757575758
财低品中颜低,财高品低颜中,0.0002838489923360772,0.024242424242424242
财中品中颜中,财低品中颜中,0.01419244961680386,2.4
财低品高颜中,财高品中颜低,0.000709622480840193,0.09696969696969697
财中品高颜低,财低品中颜中,0.0034061879080329264,0.5575757575757575
财中品中颜中,财中品高颜低,0.0034061879080329264,0.5575757575757575
财中品中颜中,财中品中颜低,0.006244677831393698,1.0424242424242423
财高品中颜低,财中品中颜低,0.0015611694578484246,0.2424242424242424
财中品低颜中,财中品中颜中,0.01021856372409878,1.7212121212121212
财高品高颜低,财中品中颜中,0.001419244961680386,0.21818181818181817
财高品中颜中,财高品中颜中,0.015611694578484247,2.6424242424242426
财低品中颜高,财低品中颜中,0.002838489923360772,0.4606060606060606
财中品低颜高,财中品中颜低,0.0012773204655123474,0.19393939393939394
财中品中颜低,财低品高颜低,0.002128867442520579,0.33939393939393947
财高品低颜中,财中品高颜中,0.0011353959693443088,0.16969696969696968
财中品中颜中,财高品低颜中,0.002980414419528811,0.4848484848484848
财低品高颜低,财高品低颜中,0.0005676979846721544,0.07272727272727272
财高品低颜低,财中品中颜高,0.0009934714731762702,0.14545454545454545
财中品中颜高,财中品高颜高,0.002554640931024695,0.41212121212121217
财中品高颜低,财中品中颜中,0.006244677831393698,1.0424242424242423
财中品中颜高,财高品中颜高,0.0017030939540164632,0.26666666666666666
财中品高颜中,财高品中颜中,0.0034061879080329264,0.5575757575757575
财中品中颜中,财低品低颜高,0.004825432869713313,0.8
财低品高颜中,财高品中颜中,0.0012773204655123474,0.19393939393939394
财中品中颜中,财低品中颜低,0.0011353959693443088,0.16969696969696968
财低品中颜低,财中品中颜低,0.005535055350553505,0.9212121212121211
财高品中颜中,财低品高颜中,0.0019869429463525404,0.3151515151515151
财低品高颜中,财低品中颜高,0.001419244961680386,0.21818181818181817
财中品中颜中,财低品中颜高,0.009367016747090548,1.5757575757575757
财低品低颜中,财低品低颜低,0.0017030939540164632,0.26666666666666666
财中品低颜中,财中品中颜高,0.002980414419528811,0.4848484848484848
财中品低颜中,财高品中颜中,0.0005676979846721544,0.07272727272727272
财低品高颜低,财高品中颜低,0.0004257734885041158,0.048484848484848485
财低品高颜中,财中品高颜中,0.004683508373545274,0.7757575757575758
财低品低颜高,财高品低颜低,0.0002838489923360772,0.024242424242424242
财高品高颜中,财低品高颜高,0.0017030939540164632,0.26666666666666666
财高品低颜高,财低品高颜中,0.0008515469770082316,0.1212121212121212
财低品高颜高,财低品高颜高,0.0017030939540164632,0.26666666666666666
财中品中颜中,财中品低颜高,0.00510928186204939,0.8484848484848484
财中品中颜高,财中品中颜高,0.015469770082316208,2.618181818181818
财中品高颜中,财高品高颜中,0.000709622480840193,0.09696969696969697
财高品中颜中,财中品中颜中,0.004825432869713313,0.8
财中品中颜中,财低品高颜低,0.0018450184501845018,0.2909090909090909
财高品中颜低,财中品高颜中,0.0017030939540164632,0.26666666666666666
财低品中颜中,财高品低颜低,0.0004257734885041158,0.048484848484848485
财低品高颜高,财中品高颜中,0.0015611694578484246,0.2424242424242424
财中品低颜高,财低品低颜中,0.000709622480840193,0.09696969696969697
财中品低颜中,财低品中颜低,0.003122338915696849,0.5090909090909091
财中品中颜高,财中品高颜低,0.0012773204655123474,0.19393939393939394
财低品中颜低,财低品高颜低,0.0008515469770082316,0.1212121212121212
财高品低颜高,财中品高颜高,0.0011353959693443088,0.16969696969696968
财高品中颜低,财中品中颜高,0.002128867442520579,0.33939393939393947
财低品低颜中,财中品低颜中,0.004967357365881351,0.8242424242424241
财高品低颜高,财中品中颜高,0.0012773204655123474,0.19393939393939394
财高品中颜高,财高品中颜低,0.0004257734885041158,0.048484848484848485
财低品中颜中,财中品高颜中,0.0017030939540164632,0.26666666666666666
财中品低颜低,财中品低颜中,0.003122338915696849,0.5090909090909091
财低品中颜中,财低品中颜中,0.021714447913709908,3.684848484848485
财中品高颜中,财低品高颜中,0.004967357365881351,0.8242424242424241
财低品中颜高,财高品中颜中,0.0012773204655123474,0.19393939393939394
财低品中颜中,财高品低颜中,0.0005676979846721544,0.07272727272727272
财低品低颜高,财低品中颜中,0.0009934714731762702,0.14545454545454545
财低品高颜中,财中品中颜高,0.0022707919386886176,0.3636363636363636
财中品中颜中,财低品低颜中,0.00411581038887312,0.6787878787878787
财中品高颜中,财中品中颜中,0.011212035197275049,1.8909090909090907
财低品高颜中,财中品低颜高,0.0011353959693443088,0.16969696969696968
财高品低颜低,财中品低颜高,0.0005676979846721544,0.07272727272727272
财中品高颜中,财高品中颜低,0.001419244961680386,0.21818181818181817
财低品中颜低,财中品低颜低,0.0024127164348566564,0.3878787878787879
财高品低颜高,财中品高颜中,0.0008515469770082316,0.1212121212121212
财中品高颜高,财高品高颜低,0.0005676979846721544,0.07272727272727272
财低品低颜中,财中品高颜低,0.0002838489923360772,0.024242424242424242
财低品中颜中,财低品高颜中,0.003264263411864888,0.5333333333333334
财中品低颜中,财低品低颜中,0.004825432869713313,0.8
财中品低颜高,财中品低颜中,0.002838489923360772,0.4606060606060606
财低品中颜中,财中品中颜低,0.003548112404200965,0.5818181818181818
财中品低颜低,财低品低颜中,0.0026965654271927336,0.4363636363636364
财低品高颜中,财低品高颜中,0.007238149304569968,1.212121212121212
财中品中颜中,财中品中颜高,0.009367016747090548,1.5757575757575757
财高品中颜低,财中品低颜高,0.0009934714731762702,0.14545454545454545
财中品低颜高,财中品高颜低,0.0005676979846721544,0.07272727272727272
财低品中颜中,财低品中颜低,0.0022707919386886176,0.3636363636363636
财高品中颜高,财高品中颜中,0.0022707919386886176,0.3636363636363636
财中品高颜高,财中品高颜中,0.003548112404200965,0.5818181818181818
财低品高颜低,财低品高颜中,0.000709622480840193,0.09696969696969697
财高品中颜中,财中品中颜高,0.00908316775475447,1.5272727272727271
财高品中颜中,财低品高颜高,0.0024127164348566564,0.3878787878787879
财中品低颜高,财高品低颜中,0.0004257734885041158,0.048484848484848485
财低品中颜中,财低品低颜中,0.003122338915696849,0.5090909090909091
财低品高颜低,财低品中颜低,0.0018450184501845018,0.2909090909090909
财低品低颜高,财中品中颜低,0.0015611694578484246,0.2424242424242424
财中品中颜中,财高品中颜中,0.002554640931024695,0.41212121212121217
财中品中颜中,财中品高颜中,0.008799318762418393,1.4787878787878785
财高品中颜低,财低品中颜高,0.0012773204655123474,0.19393939393939394
财中品低颜高,财高品中颜低,0.0008515469770082316,0.1212121212121212
财中品高颜高,财低品高颜高,0.0009934714731762702,0.14545454545454545
财低品高颜低,财中品高颜低,0.0015611694578484246,0.2424242424242424
财高品高颜低,财中品中颜高,0.0019869429463525404,0.3151515151515151
财中品中颜高,财中品中颜低,0.0005676979846721544,0.07272727272727272
财低品中颜高,财中品中颜中,0.002838489923360772,0.4606060606060606
财低品低颜中,财中品中颜中,0.0019869429463525404,0.3151515151515151
财低品低颜中,财中品低颜低,0.0024127164348566564,0.3878787878787879
财中品低颜高,财低品中颜中,0.0017030939540164632,0.26666666666666666
财中品中颜高,财高品中颜中,0.002128867442520579,0.33939393939393947
财高品高颜中,财中品高颜中,0.0017030939540164632,0.26666666666666666
财中品中颜低,财低品中颜高,0.0018450184501845018,0.2909090909090909
财中品中颜中,财低品高颜高,0.004825432869713313,0.8
财中品低颜中,财中品高颜低,0.0015611694578484246,0.2424242424242424
财低品高颜高,财中品高颜低,0.0004257734885041158,0.048484848484848485
财低品高颜低,财中品中颜低,0.0012773204655123474,0.19393939393939394
财中品低颜高,财中品中颜中,0.0036900369003690036,0.6060606060606061
财中品中颜低,财中品低颜中,0.005393130854385467,0.896969696969697
财中品高颜中,财高品高颜低,0.0004257734885041158,0.048484848484848485
财中品中颜低,财中品中颜高,0.0005676979846721544,0.07272727272727272
财低品中颜中,财中品中颜高,0.0019869429463525404,0.3151515151515151
财中品中颜低,财低品高颜中,0.0038319613965370424,0.6303030303030304
财高品高颜中,财高品高颜高,0.0017030939540164632,0.26666666666666666
财高品中颜中,财中品高颜高,0.00510928186204939,0.8484848484848484
财中品高颜高,财高品中颜中,0.0011353959693443088,0.16969696969696968
财中品中颜中,财高品低颜低,0.0009934714731762702,0.14545454545454545
财中品中颜高,财高品低颜中,0.0011353959693443088,0.16969696969696968
财中品高颜低,财低品中颜高,0.0017030939540164632,0.26666666666666666
财中品低颜中,财低品中颜高,0.003264263411864888,0.5333333333333334
财低品中颜低,财低品中颜低,0.010360488220266818,1.7454545454545454
财高品中颜低,财中品低颜中,0.0008515469770082316,0.1212121212121212
财中品高颜中,财高品低颜低,0.0002838489923360772,0.024242424242424242
财低品高颜中,财中品中颜低,0.0009934714731762702,0.14545454545454545
财低品高颜低,财中品中颜中,0.0017030939540164632,0.26666666666666666
财低品高颜低,财高品中颜中,0.0001419244961680386,0.0
财中品中颜低,财低品中颜中,0.00709622480840193,1.1878787878787878
财中品高颜低,财中品高颜中,0.0019869429463525404,0.3151515151515151
财低品中颜高,财低品高颜中,0.0011353959693443088,0.16969696969696968
财中品中颜高,财低品中颜中,0.0012773204655123474,0.19393939393939394
财高品高颜中,财高品高颜中,0.003122338915696849,0.5090909090909091
财低品中颜低,财中品中颜中,0.001419244961680386,0.21818181818181817
财中品低颜中,财低品中颜中,0.006528526823729776,1.0909090909090908
财低品低颜低,财中品低颜中,0.0015611694578484246,0.2424242424242424
财中品低颜中,财高品低颜低,0.0002838489923360772,0.024242424242424242
财高品低颜低,财中品中颜低,0.0005676979846721544,0.07272727272727272
财低品中颜中,财中品低颜低,0.0009934714731762702,0.14545454545454545
财中品低颜中,财高品中颜低,0.000709622480840193,0.09696969696969697
财低品中颜中,财低品低颜高,0.0004257734885041158,0.048484848484848485
财中品中颜高,财中品高颜中,0.00411581038887312,0.6787878787878787
财中品中颜低,财中品高颜低,0.0015611694578484246,0.2424242424242424
财中品中颜高,财高品高颜中,0.0009934714731762702,0.14545454545454545
财中品低颜中,财中品高颜中,0.0005676979846721544,0.07272727272727272
财中品中颜低,财高品低颜中,0.0005676979846721544,0.07272727272727272
财高品中颜中,财低品中颜高,0.003548112404200965,0.5818181818181818
财低品中颜中,财低品高颜低,0.0011353959693443088,0.16969696969696968
财中品低颜高,财低品中颜高,0.0011353959693443088,0.16969696969696968
财高品低颜中,财低品高颜低,0.0002838489923360772,0.024242424242424242
财低品中颜高,财中品高颜高,0.0009934714731762702,0.14545454545454545
财高品中颜中,财中品高颜中,0.002838489923360772,0.4606060606060606
财低品低颜中,财低品中颜低,0.0024127164348566564,0.3878787878787879
财中品低颜中,财中品低颜高,0.0022707919386886176,0.3636363636363636
财低品中颜高,财中品低颜高,0.0009934714731762702,0.14545454545454545
财高品低颜低,财低品中颜中,0.0015611694578484246,0.2424242424242424
财中品低颜低,财中品低颜低,0.010786261708770934,1.8181818181818181
财中品中颜高,财高品中颜低,0.0008515469770082316,0.1212121212121212
财低品低颜低,财中品低颜低,0.0024127164348566564,0.3878787878787879
