上映年份,剧名,评分人数,好评数
2001.0,黑冰,107740.0,96516.0
2002.0,铁齿铜牙纪晓岚第二部,1040583.0,920863.0
2003.0,风流少年唐伯虎,2989174.0,2838264.0
2004.0,铁齿铜牙纪晓岚第三部,5590800.0,5422855.0
2005.0,麦克斯奥特曼,1105110.0,1033198.0
2006.0,薛仁贵传奇,2694970.0,2491691.0
2007.0,终极一家,6878991.0,6651475.0
2008.0,黑子的篮球全集,1236387.0,1154046.0
2009.0,青春舞台,914658.0,818862.0
2010.0,第五空间,12579009.0,11815127.0
2011.0,盘龙卧虎高山顶,28198410.0,28195392.0
2012.0,麻辣女兵,435117.0,381876.0
2013.0,邻家花美男,403987.0,364990.0
2014.0,龙收藏,733283.0,649578.0
2015.0,龙珠超,2255874.0,1556167.0
2016.0,熊出没之熊心归来,182665.0,149714.0
